"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_diff"
"1",1.6957073479028e-34,5.36014259223231,0.021,0.001,2.74636762066338e-30,"0","Calm5",0.02
"2",1.29246586566118e-14,4.28276359676449,0.011,0.001,2.09327771602485e-10,"0","Kcng1",0.01
"3",1.59818025901467e-17,4.03816600689702,0.013,0.001,2.58841274750015e-13,"0","Npy2r",0.012
"4",9.95117727146558e-16,3.99149733801117,0.01,0.001,1.61169267088657e-11,"0","Camkv",0.009
"5",2.33014655725778e-25,3.91995040599107,0.015,0,3.7739053641347e-21,"0","Fgf21",0.015
"6",7.44276128307534e-13,3.48135674260302,0.011,0.001,1.20542961740688e-08,"0","Gm36595",0.01
"7",3.47036168020753e-23,3.39295567259646,0.024,0.004,5.62059777726412e-19,"0","Cyp4f17",0.02
"8",2.40631686595493e-12,3.34656441961531,0.01,0.001,3.8972707961006e-08,"0","Gm35065",0.009
"9",1.8115194994467e-19,3.27861926412715,0.012,0,2.93393698130387e-15,"0","Gm11615",0.012
"10",2.49103370228466e-13,3.25427450406351,0.013,0.002,4.03447818422024e-09,"0","Gpr62",0.011
"11",6.64522663180232e-25,3.16774517107881,0.019,0.001,1.0762609052867e-20,"0","Cntnap4",0.018
"12",1.63314711175484e-109,3.09916015963199,0.079,0.005,2.64504506219813e-105,"0","Emilin3",0.074
"13",3.81779146063413e-20,3.00909345929074,0.017,0.002,6.18329504964304e-16,"0","Sstr2",0.015
"14",4.36091268581681e-86,2.93452602027117,0.065,0.005,7.0629341859489e-82,"0","Grin2b",0.06
"15",1.82819433729127e-31,2.88055779399012,0.03,0.004,2.96094354867694e-27,"0","Ppargc1a",0.026
"16",8.94739267119563e-20,2.87151212895861,0.016,0.002,1.44911971702684e-15,"0","Hmgcll1",0.014
"17",1.28831136293778e-39,2.85743059619176,0.033,0.003,2.08654908341402e-35,"0","Gm48682",0.03
"18",2.46284030118834e-26,2.85564592421829,0.02,0.002,3.98881615180463e-22,"0","Calcb",0.018
"19",3.96832055254317e-09,2.84174869814077,0.011,0.002,6.42709196689892e-05,"0","Prox2os",0.009
"20",1.99701614468623e-13,2.83910526314633,0.011,0.001,3.23436734793382e-09,"0","Aox4",0.01
"21",1.92243075097164e-48,2.82497480944486,0.036,0.002,3.11356884427367e-44,"0","A630023P12Rik",0.034
"22",2.70694357783376e-60,2.74969360314697,0.04,0.002,4.38416581865955e-56,"0","Prok2",0.038
"23",7.98785295311018e-14,2.74345395363612,0.01,0.001,1.29371266428572e-09,"0","Celrr",0.009
"24",3.99404218115096e-21,2.71668494740456,0.014,0.001,6.46875071659209e-17,"0","Adrb3",0.013
"25",1.25998054697344e-09,2.71220172221647,0.013,0.003,2.04066449387818e-05,"0","Tnni3",0.01
"26",6.77189249195338e-22,2.69532102123462,0.029,0.006,1.09677570799677e-17,"0","Pex5l",0.023
"27",7.02764431484522e-20,2.6898038753908,0.023,0.004,1.13819727323233e-15,"0","Ankrd34a",0.019
"28",5.72554865762778e-28,2.67278847733735,0.024,0.003,9.27309860589396e-24,"0","Fbxo41",0.021
"29",7.71158951084002e-09,2.66152940174821,0.011,0.003,0.000124896903717565,"0","Rbfox1",0.008
"30",3.42581415854322e-16,2.63431987422162,0.022,0.005,5.5484486111766e-12,"0","9130008F23Rik",0.017
"31",5.45319303772184e-22,2.62818186211748,0.017,0.002,8.83199144389429e-18,"0","Gm29418",0.015
"32",5.49671156449232e-18,2.61948047397841,0.018,0.003,8.90247404985176e-14,"0","4831440D22Rik",0.015
"33",3.07604536040813e-22,2.60841652411807,0.024,0.004,4.981963065717e-18,"0","2210039B01Rik",0.02
"34",1.46699289691807e-30,2.59704919369521,0.026,0.003,2.3759416958485e-26,"0","Cdh10",0.023
"35",5.694492912697e-22,2.59587508927912,0.017,0.002,9.22280072140405e-18,"0","Tmem178b",0.015
"36",2.13224508543795e-23,2.58570761936371,0.019,0.002,3.45338414037531e-19,"0","Wdr63",0.017
"37",9.08090697005648e-23,2.57507823162224,0.017,0.001,1.47074369287035e-18,"0","3110015C05Rik",0.016
"38",1.54163516082914e-51,2.56111533179864,0.059,0.01,2.49683230647888e-47,"0","Mmp13",0.049
"39",6.28942084651284e-16,2.54613271825804,0.016,0.002,1.01863460030122e-11,"0","Rtl8c",0.014
"40",2.38319698272927e-14,2.53878521727613,0.013,0.002,3.85982583322833e-10,"0","Gm48742",0.011
"41",2.88060893957576e-166,2.53832684228905,0.137,0.013,4.6654342385369e-162,"0","Esm1",0.124
"42",2.58862260801125e-13,2.53645411710219,0.012,0.002,4.19253317593503e-09,"0","1700001L19Rik",0.01
"43",5.08872533691213e-17,2.51903771586016,0.018,0.003,8.24169955566288e-13,"0","2810442N19Rik",0.015
"44",4.84748464856244e-216,2.51646648354663,0.194,0.023,7.85098613681172e-212,"0","Gm4117",0.171
"45",3.92533756135075e-08,2.5130144457028,0.01,0.002,0.000635747671436367,"0","Lrrtm2",0.008
"46",1.76928124948791e-71,2.50625459961844,0.06,0.006,2.86552791167061e-67,"0","Barx1",0.054
"47",7.93060329114731e-16,2.48713124349717,0.012,0.001,1.28444050903422e-11,"0","Gm15879",0.011
"48",1.53055943564128e-17,2.47433093645122,0.015,0.002,2.47889406196461e-13,"0","Nuggc",0.013
"49",3.47067537886431e-40,2.46967552764428,0.034,0.003,5.62110584360864e-36,"0","5430421F17Rik",0.031
"50",9.41756779163131e-11,2.46888281666064,0.01,0.002,1.52526927953261e-06,"0","Gm43352",0.008
"51",1.10829749806801e-13,2.45839282313908,0.016,0.003,1.79499862787095e-09,"0","Gm16552",0.013
"52",2.00903041368115e-32,2.45602849298591,0.024,0.002,3.25382565799799e-28,"0","Dnah7a",0.022
"53",7.0689572694096e-153,2.43328508497008,0.121,0.01,1.14488831935358e-148,"0","Hs3st5",0.111
"54",2.4307979455484e-132,2.42351234214489,0.108,0.009,3.9369203526102e-128,"0","Adamtsl3",0.099
"55",1.43835544331357e-14,2.39338584196436,0.016,0.003,2.32956047599066e-10,"0","Syt17",0.013
"56",1.09864383467078e-07,2.37579797653997,0.01,0.002,0.00177936355463279,"0","Gm27253",0.008
"57",8.44995973814208e-28,2.36229426773663,0.022,0.002,1.36855547918949e-23,"0","C1ql3",0.02
"58",2.14672639180076e-43,2.36201269852488,0.043,0.006,3.47683806416051e-39,"0","Clstn2",0.037
"59",4.82800814150188e-36,2.35990936066373,0.034,0.004,7.81944198597644e-32,"0","Cpa4",0.03
"60",2.12473547736345e-14,2.33674444391828,0.012,0.001,3.44122157913785e-10,"0","Gm26721",0.011
"61",1.27630234365957e-32,2.33164768133336,0.029,0.003,2.06709927579104e-28,"0","Syt13",0.026
"62",0,2.31876372173874,0.286,0.024,0,"0","Wscd2",0.262
"63",3.5478296702404e-28,2.31436711320498,0.023,0.002,5.74606493392135e-24,"0","Sez6l",0.021
"64",3.65799116570736e-14,2.29932636902863,0.016,0.003,5.92448249197964e-10,"0","Zcchc18",0.013
"65",5.59023126389138e-09,2.29339355124276,0.014,0.004,9.05393855499849e-05,"0","Rnf225",0.01
"66",4.12959455368703e-42,2.25994719665051,0.037,0.004,6.68829133915152e-38,"0","Fam155a",0.033
"67",9.41830149061348e-27,2.25504832269821,0.028,0.004,1.52538810941976e-22,"0","Lif",0.024
"68",7.4712287705854e-15,2.24439061579832,0.014,0.002,1.21004021168401e-10,"0","Spata20",0.012
"69",2.93360557449476e-11,2.24390892265867,0.011,0.002,4.75126758845171e-07,"0","BC030343",0.009
"70",5.69890488495482e-63,2.24077350307284,0.045,0.003,9.22994635167283e-59,"0","Pax9",0.042
"71",2.40267859579329e-50,2.23625068449796,0.039,0.003,3.89137825374681e-46,"0","Grin2a",0.036
"72",1.16691470908616e-19,2.23369968639006,0.017,0.002,1.88993506283595e-15,"0","Opn1sw",0.015
"73",6.26368498110396e-61,2.23191833688546,0.048,0.004,1.0144664195396e-56,"0","Caln1",0.044
"74",6.65426458758966e-09,2.23106107955475,0.01,0.002,0.000107772469260602,"0","Gm12207",0.008
