"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_diff"
"1",3.85613504705018e-17,6.55430823035517,0.01,0,5.90528521105265e-13,"0","Igkv6-20",0.01
"2",3.86125564862466e-16,5.79004318150554,0.011,0.001,5.9131269003038e-12,"0","Hcrtr2",0.01
"3",2.53012531677049e-14,5.73786780698263,0.01,0.001,3.87463391010233e-10,"0","Iglv2",0.009
"4",1.92223573231898e-27,5.45436201968369,0.021,0.002,2.94371180047328e-23,"0","Gm26822",0.019
"5",6.59715559930505e-48,5.27089572835933,0.039,0.003,1.01028840847758e-43,"0","Agbl1",0.036
"6",2.11499963935808e-22,5.05194331322446,0.017,0.001,3.23891044771297e-18,"0","Igkv12-44",0.016
"7",4.10744587510021e-51,5.02726947653702,0.04,0.003,6.29014261312847e-47,"0","Igkv12-46",0.037
"8",1.69840422779992e-23,5.01542452050326,0.02,0.002,2.60093623445279e-19,"0","Gm12678",0.018
"9",0,5.00198754659652,0.471,0.088,0,"0","Iglc1",0.383
"10",1.14226864257344e-118,4.98563663766119,0.093,0.007,1.74927019923696e-114,"0","Iglv1",0.086
"11",1.78937421037898e-214,4.96622401139087,0.164,0.011,2.74024766577437e-210,"0","Klhl14",0.153
"12",0,4.89008166163537,0.395,0.045,0,"0","Ms4a1",0.35
"13",1.42317023694825e-18,4.85954989988486,0.015,0.001,2.17944290086256e-14,"0","Trim63",0.014
"14",0,4.83596133631528,0.422,0.064,0,"0","Iglc2",0.358
"15",1.287322600301e-57,4.80795759003962,0.043,0.003,1.97140583010095e-53,"0","Iglv3",0.04
"16",1.16123587045989e-63,4.78169222285859,0.051,0.004,1.77831661202228e-59,"0","Islr2",0.047
"17",4.75298843593965e-52,4.7558053253682,0.045,0.004,7.27872649079799e-48,"0","Fcer2a",0.041
"18",3.58663209087365e-102,4.74349544680736,0.089,0.008,5.4925683839639e-98,"0","Ren1",0.081
"19",4.97862761569372e-27,4.68986438977605,0.023,0.002,7.62427033067336e-23,"0","AC136372.1",0.021
