cluster	gene	pct.1	pct.2	avg_log2FC	p_val	p_val_adj
0	Atp1b1	0.908	0.183	3.62664289775905	0	0
0	Fcrla	0.899	0.201	2.96844128513273	0	0
0	Arl5c	0.932	0.237	3.34721803826517	0	0
0	Pafah1b3	0.962	0.271	2.77448654357475	0	0
0	Bach2	0.875	0.187	2.94452705497063	0	0
0	Spib	0.887	0.21	2.87765735317716	0	0
0	Cnp	0.938	0.265	2.83900293653662	0	0
0	Ly6d	0.918	0.25	2.89436912934352	0	0
0	Rhoh	0.886	0.223	3.1101804753927	0	0
0	Siglecg	0.907	0.246	2.6990982712974	0	0
0	Ptprcap	0.962	0.302	2.07548910565304	0	0
0	Cecr2	0.845	0.186	3.08724339123728	0	0
0	Cd79a	0.994	0.338	2.53918861305889	0	0
0	Ebf1	0.998	0.347	2.93549267224985	0	0
0	Cd79b	0.999	0.349	2.8200325982202	0	0
0	Bcl7a	0.847	0.21	2.77715787134362	0	0
0	Mzb1	0.861	0.238	1.92736740212016	0	0
0	Vpreb3	0.996	0.377	2.67525024627854	0	0
0	Chchd10	0.984	0.367	2.48929543183236	0	0
0	Pou2af1	0.817	0.2	2.50536346346714	0	0
0	Sox4	0.849	0.232	2.65720189258643	0	0
0	Pax5	0.8	0.19	2.43547855739951	0	0
0	Foxp1	0.949	0.339	2.56002218555765	0	0
0	Dnajc7	0.972	0.364	3.62158513739351	0	0
0	Fam129c	0.779	0.185	2.96459725394289	0	0
0	Cd72	0.823	0.231	2.51738344997334	0	0
0	Slamf6	0.749	0.171	2.7446545432306	0	0
0	Fam53b	0.904	0.328	2.57081389315328	0	0
0	Akap12	0.736	0.167	2.69067420740839	0	0
0	Cd37	0.97	0.402	2.26948157829983	0	0
0	Blnk	0.761	0.201	2.23715586520506	0	0
0	Syk	0.888	0.337	2.4114122854752	0	0
0	Plekha2	0.804	0.255	2.49163054076496	0	0
0	Lrmp	0.884	0.335	2.09286029151291	0	0
0	Tifa	0.809	0.267	2.61788646636878	0	0
0	Igkc	0.93	0.397	2.1979428744269	0	0
0	Klf2	0.894	0.362	2.14803232382221	0	0
0	Rag1	0.629	0.1	3.66282538027931	0	0
0	Tcf3	0.846	0.317	2.09587262516302	0	0
0	C1galt1	0.781	0.254	2.75048248075284	0	0
0	Smarca4	0.867	0.34	2.08717967148489	0	0
0	Btg1	0.979	0.455	2.43152585667795	0	0
0	Zeb2	0.857	0.345	1.96947651432136	0	0
0	Btg2	0.899	0.389	2.33964320330312	0	0
0	Serinc5	0.673	0.164	3.10574395097355	0	0
0	Xrcc6	0.71	0.204	2.65641495613118	0	0
0	Myb	0.756	0.257	2.14354148084994	0	0
0	Il7r	0.643	0.147	2.57992612684214	0	0
0	Cerk	0.707	0.22	2.63127880494179	0	0
0	Snn	0.652	0.167	2.56506247580067	0	0
0	Mtss1	0.68	0.198	2.43993881135669	0	0
0	Iglc3	0.595	0.114	2.87686357199597	0	0
0	Dusp2	0.657	0.177	2.44312873840745	0	0
0	Pkig	0.845	0.366	1.63056757566344	0	0
0	Myl4	0.655	0.179	1.75880519052065	0	0
0	Ifi209	0.684	0.209	2.24778004572861	0	0
0	Sec63	0.728	0.253	2.72972508429287	0	0
0	Ighm	0.999	0.527	2.5564040472587	0	0
0	Smim14	0.865	0.395	1.82971064203569	0	0
0	Arhgap17	0.733	0.263	2.26606284444588	0	0
0	Cd19	0.656	0.187	2.39389285408002	0	0
0	Tmem131l	0.755	0.291	2.27338762651023	0	0
0	Ptp4a3	0.875	0.411	1.88626186872757	0	0
0	Klhl24	0.756	0.293	2.22638171380894	0	0
0	Jund	0.953	0.496	2.37951143845763	0	0
0	Cytip	0.75	0.296	2.11055040742281	0	0
0	Lmo4	0.842	0.391	1.82878039214606	0	0
0	Dok3	0.786	0.339	2.00519790824222	0	0
0	Ikzf3	0.54	0.099	3.09555917534928	0	0
0	Herpud1	0.73	0.297	2.12867138775021	0	0
0	4930523C07Rik	0.743	0.312	1.95415841805252	0	0
0	Ablim1	0.576	0.146	2.57320732978721	0	0
0	Chst3	0.568	0.144	2.60985132289508	0	0
0	Gm30211	0.534	0.112	3.28270493974413	0	0
0	Dgkd	0.671	0.251	2.35820564464655	0	0
0	Coq7	0.615	0.195	2.76327087148131	0	0
0	Tmsb10	0.997	0.578	1.96447292544051	0	0
0	Eif3f	0.954	0.535	1.33145600188641	0	0
0	Cox7a2l	0.889	0.471	1.53762195885866	0	0
0	Cd38	0.521	0.114	2.94591392790311	0	0
0	Spns3	0.52	0.118	2.92292596530483	0	0
0	Rrm2b	0.542	0.146	2.84923677744026	0	0
0	Txndc11	0.571	0.175	2.74712237835966	0	0
0	Cpm	0.487	0.093	3.18988754297168	0	0
0	Gm37065	0.5	0.116	2.54999761864809	0	0
0	Cd2	0.421	0.067	3.45786734757201	0	0
0	Slc12a3	0.433	0.081	3.31238262796491	0	0
0	Il2ra	0.35	0.041	4.02517569346732	0	0
0	Rps27	0.997	0.706	1.53739754429751	0	0
0	Rps9	0.999	0.86	0.911284626229691	0	0
0	H3f3a	1	0.889	1.13881350292281	0	0
0	Tpt1	0.999	0.906	0.953937843818319	0	0
0	Malat1	1	0.949	1.71064831462222	0	0
0	mt-Co1	1	0.982	0.877240967754291	0	0
0	Unc93b1	0.823	0.372	1.59688268017736	7.28495205703405e-308	1.1355054771299e-303
0	Rgs2	0.723	0.293	1.92292224845311	1.5070676020191e-307	2.34906627126717e-303
0	Jakmip1	0.492	0.119	2.73919345283767	5.22902213906375e-307	8.15047680815867e-303
0	Slc1a5	0.714	0.288	1.91353317843692	1.56200750218765e-302	2.43470109365988e-298
0	Fau	0.999	0.897	0.823031871832757	4.74271517760802e-301	7.39247014733761e-297
0	mt-Atp6	1	0.982	0.807475209933564	6.28610318805449e-294	9.79814903922053e-290
0	Sema4b	0.532	0.154	2.63869519158434	1.07251346289219e-293	1.67172673461006e-289
0	Ypel3	0.881	0.53	1.48956483608057	1.26954457677743e-293	1.97883913182297e-289
0	Ralgps2	0.603	0.193	2.19264260710628	3.80714067229369e-293	5.93419016590418e-289
0	Uchl1	0.414	0.082	3.03938347694024	1.66222396791018e-292	2.59090849878161e-288
0	Rbm39	0.958	0.591	1.22954911069309	2.89457251488889e-291	4.51177017895731e-287
0	Cplx2	0.487	0.116	2.28230306246996	5.52312111430618e-288	8.60888888086905e-284
0	Gm42418	1	0.864	0.457273108636452	7.24938848654215e-286	1.12996218339732e-281
0	Lynx1	0.383	0.068	3.00518332494211	6.25237131926812e-284	9.74557117534323e-280
0	Paip2	0.85	0.491	1.45233538532317	7.68841985197749e-284	1.19839400232773e-279
0	Hes6	0.634	0.233	2.05678221010517	1.91324480670334e-283	2.98217468020849e-279
0	Apobec3	0.803	0.367	1.66863902245469	4.32790844147797e-282	6.74591088773171e-278
0	Gm26740	0.678	0.27	1.92475424051658	1.77827133863074e-279	2.77179153552373e-275
0	Klhl6	0.647	0.246	2.02041932784749	1.887827043583e-279	2.94255601283282e-275
0	Foxo1	0.502	0.137	2.51502301022789	2.79605072543975e-279	4.35820426574293e-275
0	H2-K1	0.957	0.612	1.34579449086925	9.85569121576991e-279	1.53620658980206e-274
0	mt-Co2	1	0.978	0.765808193854184	1.73687027531199e-278	2.7072596981288e-274
0	Ly6e	0.976	0.534	1.1928675106688	1.92862724669087e-278	3.00615128941705e-274
0	Cd93	0.554	0.163	1.90413399010146	5.65982331400532e-276	8.82196659954009e-272
0	Elf1	0.713	0.319	1.77153679677958	6.96133028710045e-273	1.08506255185035e-268
0	Srp14	0.844	0.477	1.35750663829395	1.63115437181001e-272	2.54248031934026e-268
