"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_diff"
"Smoc1",9.27990311836959e-16,3.76486432184907,0.95,0.158,1.80633314199064e-11,"0","Smoc1",0.792
"Cyp1b1",5.32487241096791e-14,3.35416607103682,1,0.277,1.0364864147949e-09,"0","Cyp1b1",0.723
"Crym",5.78847639680874e-11,3.97825446112993,0.7,0.099,1.12672693063882e-06,"0","Crym",0.601
"Sema7a",2.62202694257449e-10,2.78714119720368,0.9,0.277,5.10377544372125e-06,"0","Sema7a",0.623
"Vcan",3.01671645239669e-10,1.45973674017448,1,0.95,5.87203857459015e-06,"0","Vcan",0.05
"Mmp9",4.56638330628806e-10,3.10883176263742,0.9,0.287,8.8884651056897e-06,"0","Mmp9",0.613
"Barx1",5.17689581175175e-10,2.04658552847485,1,0.733,1.00768276975748e-05,"0","Barx1",0.267
"Kcnj8",6.93630716376915e-10,2.95726110345718,0.85,0.228,1.35015218942767e-05,"0","Kcnj8",0.622
"Msx1",2.11206758410982e-09,1.94453189525423,1,0.485,4.11113955246976e-05,"0","Msx1",0.515
"Dlx2",3.32976104036272e-09,2.90049852226761,0.9,0.396,6.48137986506604e-05,"0","Dlx2",0.504
"Lypd1",4.19767683020377e-09,4.42139288922348,0.75,0.188,8.17077794999164e-05,"0","Lypd1",0.562
"Pla2g7",4.21239867471139e-09,2.41500423741183,0.85,0.228,8.19943402032572e-05,"0","Pla2g7",0.622
"Fap",4.55520781521089e-09,2.10665805859984,1,0.396,8.866712012308e-05,"0","Fap",0.604
"Col26a1",5.2752885040931e-09,1.8214625777708,1,0.832,0.000102683490732172,"0","Col26a1",0.168
"Scube1",6.64430038195364e-09,2.27003320576275,0.95,0.446,0.000129331306934728,"0","Scube1",0.504
"Rbp1",6.77855767662269e-09,1.62473347571271,1,0.832,0.000131944625175461,"0","Rbp1",0.168
"Nrxn2",8.95224250436619e-09,2.81812254106937,0.7,0.129,0.000174255400347488,"0","Nrxn2",0.571
"C1ql1",1.27134191041931e-08,2.75591316612488,0.7,0.139,0.000247466702863119,"0","C1ql1",0.561
"Hmga2",1.54420042950656e-08,2.08163048794554,1,0.584,0.000300578613603453,"0","Hmga2",0.416
"Cbln1",1.70855074589488e-08,3.14856378486145,0.6,0.099,0.000332569402688438,"0","Cbln1",0.501
"Pdlim3",1.78683585451621e-08,3.05634095838215,0.65,0.119,0.000347807599081581,"0","Pdlim3",0.531
"Trabd2b",1.80958405575243e-08,2.32626124905406,0.9,0.406,0.00035223553645221,"0","Trabd2b",0.494
"Krt15",1.84254976950831e-08,-6.36152170628187,0.6,0.931,0.000358652312634793,"0","Krt15",-0.331
"Kirrel3",2.65169885096499e-08,3.09114411931508,0.55,0.069,0.000516153181340334,"0","Kirrel3",0.481
"Anxa1",2.83957440473964e-08,-1.99981368632749,1,1,0.000552723157882571,"0","Anxa1",0
"Lsp1",3.22168836616934e-08,1.47684445132093,1,0.663,0.000627101640474862,"0","Lsp1",0.337
"Aldh1a2",3.23855603355682e-08,3.39291359029984,0.85,0.416,0.000630384931931834,"0","Aldh1a2",0.434
"Fxyd7",4.30671928959517e-08,1.974564710815,0.8,0.228,0.0008383029097197,"0","Fxyd7",0.572
"Lrrn3",6.0559169151668e-08,2.9896734173525,0.75,0.208,0.00117878422753722,"0","Lrrn3",0.542
"Pcp4",6.86875199049657e-08,3.00196746693496,0.8,0.287,0.00133700257495016,"0","Pcp4",0.513
"Lrrn2",1.01729619869659e-07,3.2723072418219,0.55,0.089,0.00198016705076292,"0","Lrrn2",0.461
"Lhx6",1.41830393500581e-07,1.5620260080837,1,0.802,0.00276072860948881,"0","Lhx6",0.198
"Hpca",2.22809250550257e-07,3.47594461238446,0.55,0.079,0.00433698206196075,"0","Hpca",0.471
"Igfbp7",2.24450054357231e-07,1.63506712193193,1,0.604,0.00436892030806349,"0","Igfbp7",0.396
"Thy1",2.27397472217476e-07,2.28022305479034,0.75,0.208,0.00442629179671318,"0","Thy1",0.542
"Igfbp6",2.34379418852248e-07,3.39349337286189,0.45,0.05,0.00456219538795902,"0","Igfbp6",0.4
"Gja4",2.38290638298249e-07,2.68740187111476,0.75,0.218,0.00463832727447541,"0","Gja4",0.532
"Gm13889",2.39807826277225e-07,2.01844330679474,0.9,0.356,0.00466785933848619,"0","Gm13889",0.544
"Cdo1",2.50236878136732e-07,-1.40752129000101,0.95,0.931,0.00487086083293149,"0","Cdo1",0.0189999999999999
"Gli1",2.87503981204109e-07,1.40495579300297,1,0.762,0.00559626499413799,"0","Gli1",0.238
"Spock1",2.89456772046953e-07,3.17497573495972,0.65,0.178,0.00563427606789393,"0","Spock1",0.472
"Matn2",3.07423474552708e-07,1.82735656135349,0.95,0.723,0.00598399793216847,"0","Matn2",0.227
"Rassf2",3.11674822700738e-07,2.17192252046481,0.8,0.228,0.00606675042386987,"0","Rassf2",0.572
"Asphd1",3.40971409518164e-07,3.63556430738601,0.25,0,0.00663700848627107,"0","Asphd1",0.25
"Atcay",3.49860627656278e-07,3.15363506509125,0.45,0.05,0.00681003711732945,"0","Atcay",0.4
"Fbln1",3.54524227439627e-07,1.51347838698666,1,0.822,0.00690081408711234,"0","Fbln1",0.178
"Slit3",3.75410021717181e-07,1.3032533866349,1,0.802,0.00730735607272492,"0","Slit3",0.198
"Mab21l2",3.75770876150647e-07,1.43949887723157,1,0.743,0.00731438010427235,"0","Mab21l2",0.257
"Rgl1",3.77107080077238e-07,1.36454193725278,1,0.723,0.00734038931370343,"0","Rgl1",0.277
"Ngfr",3.99558604263073e-07,2.41221846287573,0.9,0.475,0.00777740823198072,"0","Ngfr",0.425
"Grik1",4.09742486305056e-07,3.27546769463114,0.6,0.129,0.00797563749592791,"0","Grik1",0.471
"S100a4",4.14286795112564e-07,2.45813167111054,0.9,0.455,0.00806409246686605,"0","S100a4",0.445
"Gria4",4.8217037365993e-07,2.19597497191409,0.8,0.238,0.00938544632329053,"0","Gria4",0.562
"Col17a1",5.2974761614698e-07,-4.23735275890317,0.2,0.782,0.010311537348301,"0","Col17a1",-0.582
"Dhrs3",5.53584612595454e-07,1.6141763846883,1,0.663,0.0107755244841705,"0","Dhrs3",0.337
"Gria1",5.63887966844912e-07,2.1567696361478,0.9,0.475,0.0109760792746362,"0","Gria1",0.425
"Egflam",6.09122611903595e-07,1.704911138704,0.95,0.406,0.0118565716407035,"0","Egflam",0.544
"Igfbp4",6.16971461853241e-07,1.00825755303069,1,1,0.0120093495049733,"0","Igfbp4",0
"Dlx1",6.2454380683678e-07,1.79743728796321,0.95,0.426,0.0121567452000779,"0","Dlx1",0.524
"Best1",6.8783574180284e-07,2.90065732013694,0.55,0.109,0.0133887227141923,"0","Best1",0.441
"Stx1b",7.59088644574028e-07,1.78827051945438,0.9,0.376,0.0147756604666335,"0","Stx1b",0.524
"Fth1",8.82717063139993e-07,0.732395301254736,1,0.96,0.01718208763402,"0","Fth1",0.04
"Reln",9.14279771683528e-07,3.67347988811945,0.5,0.089,0.0177964557558199,"0","Reln",0.411
"Dhh",9.68547562911764e-07,3.1364580274116,0.5,0.079,0.0188527783120775,"0","Dhh",0.421
"Sorcs1",1.10818171002106e-06,2.77253344213582,0.55,0.109,0.0215707569855599,"0","Sorcs1",0.441
"Zmiz1",1.12625071514836e-06,0.878944859854198,1,0.911,0.0219224701703628,"0","Zmiz1",0.089
"S100a14",1.16310158368768e-06,-3.63449681002162,0.2,0.802,0.0226397723264807,"0","S100a14",-0.602
"Meis2",1.21035482071824e-06,-1.81891787856704,0.7,0.98,0.0235595565852805,"0","Meis2",-0.28
"Hspb1",1.22814464442756e-06,-4.14218356347626,0.2,0.743,0.0239058355037824,"0","Hspb1",-0.543
"Slco3a1",1.28840402102524e-06,1.923982505195,0.9,0.564,0.0250787842692563,"0","Slco3a1",0.336
"Rasl11a",1.32876785385497e-06,2.37271190572093,0.75,0.297,0.025864466275287,"0","Rasl11a",0.453
"Inhba",1.36358991129415e-06,3.20644512210479,0.45,0.069,0.0265422776233406,"0","Inhba",0.381
"Tmem215",1.6148574429851e-06,2.58785823984349,0.5,0.079,0.0314332001277049,"0","Tmem215",0.421
"Rras",1.71405747839774e-06,1.61268081679077,0.95,0.525,0.033364128817012,"0","Rras",0.425
"Pou3f3",1.71746050428308e-06,1.59813844362395,1,0.545,0.0334303687158702,"0","Pou3f3",0.455
"Dbx2",1.72835300371157e-06,4.03800699178691,0.45,0.069,0.0336423912172457,"0","Dbx2",0.381
"Ptpdc1",1.859736654228e-06,1.49815258577379,0.95,0.564,0.0361997739745479,"0","Ptpdc1",0.386
"Krt6a",2.12479485492774e-06,-6.02938763445021,0.1,0.693,0.0413591318511684,"0","Krt6a",-0.593
"Zfp619",2.33639244729169e-06,2.6372388910325,0.5,0.089,0.0454778789865327,"0","Zfp619",0.411
"Tln2",2.36530521203611e-06,1.54489617556079,0.95,0.436,0.0460406659522829,"0","Tln2",0.514
"Lrfn2",2.74742216619747e-06,2.71175674291357,0.5,0.089,0.0534785724650338,"0","Lrfn2",0.411
"Ptms",3.1951566477077e-06,0.4283570007286,1,1,0.0621937241476303,"0","Ptms",0
"Trhr",3.46001135209605e-06,3.52086514342274,0.3,0.02,0.0673491209685496,"0","Trhr",0.28
"Smco3",3.50381727603721e-06,2.08205211492413,0.6,0.149,0.0682018032780642,"0","Smco3",0.451
"Kdr",3.5319003794536e-06,1.61868170484991,1,0.584,0.0687484408860644,"0","Kdr",0.416
"Pcdhga8",3.75554780260195e-06,1.92997079182547,0.65,0.139,0.073101737977647,"0","Pcdhga8",0.511
"Spock3",3.78383354885764e-06,2.21971084164947,0.7,0.218,0.0736523200285139,"0","Spock3",0.482
"Mamld1",3.94454851676161e-06,2.38106581002863,0.7,0.218,0.0767806368787648,"0","Mamld1",0.482
"Ebf2",4.0812936296884e-06,3.08197824443112,0.6,0.178,0.0794423805018847,"0","Ebf2",0.422
"Tead1",4.75309968316453e-06,0.958389084715296,1,0.901,0.0925190853327977,"0","Tead1",0.099
"Galm",4.76051766236835e-06,1.89677832922112,0.95,0.525,0.0926634762979999,"0","Galm",0.425
"Lipe",4.79325545425426e-06,1.34880409191684,0.85,0.327,0.0933007174170593,"0","Lipe",0.523
"Col18a1",4.86627449796631e-06,1.09428901547039,1,0.802,0.0947220331029142,"0","Col18a1",0.198
"Lrrtm3",4.91261377595375e-06,2.71339745109698,0.5,0.099,0.0956240271489398,"0","Lrrtm3",0.401
"Chst2",4.96264962169133e-06,1.19611526165475,1,0.752,0.0965979748862217,"0","Chst2",0.248
"Serpini1",5.44391450449969e-06,2.55235118434623,0.5,0.099,0.105965795830086,"0","Serpini1",0.401
"F5",5.63532468651631e-06,3.32666374726689,0.2,0,0.10969159502304,"0","F5",0.2
"Stpg2",5.63532468651631e-06,3.24213667937541,0.2,0,0.10969159502304,"0","Stpg2",0.2
"Aoc1",5.63532468651631e-06,3.38192124204851,0.2,0,0.10969159502304,"0","Aoc1",0.2
"Arvcf",5.67291101224676e-06,1.38302750226198,0.95,0.515,0.110423212853383,"0","Arvcf",0.435
"Ncam1",5.73992057524749e-06,1.33577600831131,1,0.861,0.111727553997192,"0","Ncam1",0.139
"Pthlh",5.99126589744855e-06,1.44647002967328,0.9,0.475,0.116619990693836,"0","Pthlh",0.425
"Prnd",6.36281322570601e-06,1.49963725559192,0.9,0.396,0.123852159438367,"0","Prnd",0.504
"Heyl",6.69934397519689e-06,1.72348024005985,0.9,0.465,0.130402730477207,"0","Heyl",0.435
"Ighj4",6.93646322501609e-06,2.97389442437316,0.3,0.02,0.135018256674938,"0","Ighj4",0.28
"Dchs1",7.42408279674328e-06,0.86251295859017,1,0.792,0.144509771638608,"0","Dchs1",0.208
"Hoxa3",7.47241585373345e-06,3.23679597863762,0.25,0.01,0.145450574592922,"0","Hoxa3",0.24
"Scml4",7.47241585373345e-06,3.35434461744722,0.25,0.01,0.145450574592922,"0","Scml4",0.24
"Adcy5",7.60305980791369e-06,2.13789064939384,0.6,0.149,0.14799355916104,"0","Adcy5",0.451
"Slc22a27",8.1494985496705e-06,3.19477611832337,0.25,0.01,0.158629989269336,"0","Slc22a27",0.24
"Stard9",8.22557986254552e-06,2.03379644955874,0.4,0.05,0.160110912024449,"0","Stard9",0.35
"Cd79b",8.59409274226518e-06,2.35268948963163,0.5,0.099,0.167284015228192,"0","Cd79b",0.401
"Anxa8",9.38324516719835e-06,-4.72561764471352,0.05,0.614,0.182644867179516,"0","Anxa8",-0.564
