"","feat_ID","variable","spat_cor","expr_cor","cordiff","spatrank","exprrank","rankdiff","clus"
"1","4833427G06Rik","4833427G06Rik",1,1,0,1,1,0,1
"2","Acp5","Acp5",1,1,0,1,1,0,2
"3","Acta1","Acta1",1,1,0,1,1,0,3
"4","Acta2","Acta2",1,1,0,1,1,0,2
"5","Actr2","Actr2",1,1,0,1,1,0,3
"6","Alpl","Alpl",1,1,0,1,1,0,4
"7","Alx4","Alx4",1,1,0,1,1,0,5
"8","Angptl1","Angptl1",1,1,0,1,1,0,5
"9","Anp32b","Anp32b",1,1,0,1,1,0,3
"10","Apoe","Apoe",1,1,0,1,1,0,2
"11","Armc4","Armc4",1,1,0,1,1,0,1
"12","Atf4","Atf4",1,1,0,1,1,0,3
"13","Atf5","Atf5",1,1,0,1,1,0,3
"14","Atf6","Atf6",1,1,0,1,1,0,2
"15","Axin2","Axin2",1,1,0,1,1,0,2
"16","Bcl11b","Bcl11b",1,1,0,1,1,0,3
"17","Bglap","Bglap",1,1,0,1,1,0,4
"18","Bgn","Bgn",1,1,0,1,1,0,5
"19","Bicc1","Bicc1",1,1,0,1,1,0,5
"20","Birc5","Birc5",1,1,0,1,1,0,3
"21","Bmp2","Bmp2",1,1,0,1,1,0,4
"22","Bmp3","Bmp3",1,1,0,1,1,0,4
"23","Bmp5","Bmp5",1,1,0,1,1,0,2
"24","Bmp7","Bmp7",1,1,0,1,1,0,3
"25","Calcrl","Calcrl",1,1,0,1,1,0,6
"26","Capsl","Capsl",1,1,0,1,1,0,1
"27","Car2","Car2",1,1,0,1,1,0,2
"28","Ccn2","Ccn2",1,1,0,1,1,0,3
"29","Cd200","Cd200",1,1,0,1,1,0,4
"30","Cd36","Cd36",1,1,0,1,1,0,3
"31","Cd63","Cd63",1,1,0,1,1,0,4
"32","Cd68","Cd68",1,1,0,1,1,0,2
"33","Cdh5","Cdh5",1,1,0,1,1,0,6
"34","Cdk1","Cdk1",1,1,0,1,1,0,3
