"","unified_int","type_int","original","simulations","enrichm","p_higher_orig","p_lower_orig","p.adj_higher","p.adj_lower","PI_value","int_ranking"
"1","NA--NA",NA,293,0,8.19967234483636,0,1,0,1,24.5990170345091,1
"2","epith.2--epith.2","homo",128,5.798,4.24611689354367,0,1,0,1,12.738350680631,2
"3","osteo--osteo","homo",382,33.708,3.46400425276166,0,1,0,1,10.392012758285,3
"4","mes.5--mes.5","homo",186,31.29,2.53387892404838,0,1,0,1,7.60163677214514,4
"5","epith.1--epith.1","homo",773,178.305,2.10991784740697,0,1,0,1,6.3297535422209,5
"6","vasc--vasc","homo",157,41.699,1.88765037060872,0,1,0,1,5.66295111182616,6
"7","mes.4--mes.4","homo",635,187.376,1.7554115950736,0,1,0,1,5.26623478522079,7
"8","mes.3--mes.3","homo",874,266.743,1.70843415997989,0,1,0,1,5.12530247993968,8
"9","mes.1--mes.1","homo",15,4.664,1.49817873457909,0,1,0,1,4.49453620373727,9
"10","epith.1--epith.2","hetero",146,64.703,1.1617850044195,0,1,0,1,3.48535501325849,10
"11","mes.2--mes.2","homo",796,422.798,0.911202944898515,0,1,0,1,2.73360883469555,11
"12","mes.2--vasc","hetero",393,264.578,0.569059988288515,0,1,0,1,1.70717996486555,12
"13","mes.1--mes.2","hetero",132,90.144,0.545206653687393,0,1,0,1,1.63561996106218,13
"14","mes.1--vasc","hetero",41,28.33,0.518012256796529,0.017,0.991,0.0634666666666667,1,0.616778952351852,14
"15","mes.5--vasc","hetero",94,72.094,0.378174527587503,0.00700000000000001,0.996,0.028,1,0.581481910762161,15
"16","mes.1--mes.4","hetero",74,59.825,0.302226180444814,0.02,0.987,0.0700000000000001,1,0.347179801584502,16
"17","mes.2--mes.5","hetero",228,229.077,-0.00676917122661839,0.548,0.486,1,0.697846153846154,-0.00105340773548231,17
"18","mes.1--mes.5","hetero",24,24.193,-0.01109483454552,0.554,0.539,1,0.7546,-0.00135033068593127,18
"19","epith.1--mes.5","hetero",131,149.181,-0.186164373683539,0.96,0.045,1,0.0663157894736843,-0.218162875238867,19
"20","mes.1--mes.3","hetero",53,71.097,-0.416979822021218,0.996,0.00800000000000001,1,0.0124444444444445,-0.780359864791795,20
"21","mes.3--osteo","hetero",147,189.721,-0.365866529505103,1,0,1,0,-1.09759958851531,21
"22","mes.2--mes.4","hetero",435,565.355,-0.377378504966825,1,0,1,0,-1.13213551490048,22
"23","mes.2--mes.3","hetero",512,670.989,-0.389478791434598,1,0,1,0,-1.16843637430379,23
"24","mes.4--vasc","hetero",126,176.554,-0.483429365277298,1,0,1,0,-1.45028809583189,24
"25","mes.4--mes.5","hetero",97,153.357,-0.655417255475489,1,0,1,0,-1.96625176642647,25
"26","mes.3--mes.4","hetero",271,449.443,-0.727737904463048,1,0,1,0,-2.18321371338914,26
"27","osteo--vasc","hetero",38,74.504,-0.953078952612508,1,0,1,0,-2.85923685783752,27
"28","mes.1--osteo","hetero",11,25.222,-1.12774332091741,1,0,1,0,-3.38322996275222,28
"29","epith.1--mes.2","hetero",215,547.381,-1.34414727389864,1,0,1,0,-4.03244182169593,29
