Name	feat_ID
	Eif4ebp1
	Sparc
	Myh8
	Vim
	Cdk1
	Cd63
	Itgav
	Col3a1
	Creb3l1
	Tuba1b
	Palld
	Serpinh1
	Jun
	Col16a1
	Cenpj
	Krt1
	Fgfr1
	Dlk1
	Hsp90ab1
	Acta1
	Ranbp1
	Hspa9
	Armc4
	Lmnb1
	Emcn
	Pdgfra
	Atf4
	Mki67
	Col11a1
	Casq2
	Tbx15
	Eng
	4833427G06Rik
	Cdh5
	Tgfb1
	Ptn
	Acta2
	Mmp2
	Bcl11b
	Smad4
	Cd200
	Rock2
	Ckm
	Tac1
	Sost
	Ecscr
	Smad3
	Vcl
	Mmp15
	Pecam1
	Itm2a
	Lrp6
	Anp32b
	Col15a1
	Igf2
	Apoe
	Timp2
	Phactr1
	Ogn
	Fgf2
	Cd36
	Hmgn2
	Brd2
	Igfbp4
	Csrp3
	Actr2
	Wnt9a
	Wnt16
	Tnik
	Ttn
	Col1a1
	Sparcl1
	Axin2
	Thbs1
	Smad7
	Slc2a4
	Fstl1
	Stat3
	Tgfbi
	Pcna
	Ncam1
	Bst2
	Lum
	Myl1
	Col4a1
	Fn1
	Col23a1
	Bgn
	Mmp23
	Ccn3
	Hspa5
	Tyrobp
	Crocc2
	Alx1
	Lrp5
	Tgfb3
	Col12a1
	Rock1
	Mapk10
	Dynlrb2
	Cdkn1a
	Shh
	Il6
	Selp
	Ran
	Smad1
	Crtap
	Atf6
	Actr3
	Mmp14
	Gdf2
	Mgp
Bmp signaling	Bmpr1a
	Foxo3
	Tgfbr3
	Akt1
	Dkk1
	Ptch1
	Dspp
	Tfap2a
	Igf1
	Postn
	Ltbp2
	Ddit3
	Krt14
	Ndrg2
	Eif2ak4
	Tek
	Lrrc23
	Eif2ak1
	Dlx6
	Pxn
	Prickle1
	Krt7
	Foxj1
	Chodl
	Smad2
	Dio2
	Top2a
	Birc5
	Mtor
	Slit3
	Spock1
	Flt1
adipocytes	Adipoq
adipocytes	Capsl
	Dlx5
	Angptl1
	Mylk
	Dlx3
	Pdpn
	Rgcc
	Col2a1
	Erf
	Vwf
	Kif7
	Prrx1
	Snai1
	Fgfr3
	Smurf1
	Krt5
	Cntn4
	Piezo1
	Mapk8
	Wif1
	Bicc1
	Ccl9
	Sox9
	Fgf7
	Tubb3
	Dcn
	Notch1
Bmp signaling	Bmp3
	Trpm3
	Frzb
	Lgr5
	Mkx
	Vdr
	Gfra2
	Pax1
	Gli3
	Sapcd2
	Net1
	Xbp1
	Sox5
	Vip
Bmp signaling	Bmp7
	Tnf
	Hopx
	Cd68
	Amelx
	Esam
	Tln1
	Lfng
	Mfap2
	Aqp5
	Eif2ak2
	Podnl1
	Lif
	Tnfrsf11b
	Sox6
	Srf
	Col10a1
Bmp signaling	Bmp2
	Pdgfrb
	Ibsp
	Dkk4
	Zfp36
	Sox11
	Erg
	Eln
	Nasp
	Epha2
	Cenpf
Bmp signaling	Bmpr2
	Atf5
	Dysf
	Rspo1
	Sftpd
Bmp signaling	Bmp5
	Dthd1
	Nrg1
	Cxcl14
	Ebf2
	Piezo2
	Sftpa1
	Hspg2
	Alx4
	Ihh
	Ccn2
	Wnt1
	Tgfb2
	Ephb2
	Dmp1
	Tnn
	Notch2
	Sfrp2
	Egf
	S100a6
	Bax
	Tnfrsf11a
	Wnt5b
	Trnp1
	Nog
	Map2k1
	Gli1
	Mapk11
Bmp signaling	Bmp6
	Twist1
	Inhba
	Wnt3a
	Crabp1
adipocytes	Cidea
	Stmn2
	Sufu
	Sostdc1
	Tcf12
	Ctsk
	Serpinf1
	Calcrl
	Mapk13
	Fmod
	Trps1
	Grem1
	Mapk14
	Mmp13
	Eif2ak3
	Ror2
	Scnn1g
	Tshr
	Foxd2
	Deup1
	Jag1
	Pthlh
	Smo
	Smad6
Bmp signaling	Bmp4
	Trib3
	Inha
	Ptch2
	Rln1
	Msx2
	Rfx1
	Mrc1
	Ccn5
	Dkk2
	Smad9
	Twist2
	Adamts17
	Enam
	Gdf10
	Crp
	Stat6
	Tbx1
	Ptk2
	Wnt5a
	Smad5
	Mmp9
	Ntrk1
	Six2
	Dio3
	Pax9
	Msx1
	Frem1
	Osr1
	Acp5
	Nfatc1
	Sntn
	Wnt7a
	Cldn18
	Pth1r
	Myocd
	Agtr1b
	Gramd2
	Enpp2
	Nos3
	Rp1
	Tnfsf11
	Foxc2
adipocytes	Zic1
	Icam1
	Dvl2
	Wnt7b
	Foxc1
	Lef1
	Fgfr2
	Tekt4
	Alpl
	Fstl5
	Unc5b
	Ager
	Fgf14
	Runx2
	Wnt10a
	Mpz
	Car2
	Serpine1
	Sp7
	Matn4
	Phex
	Fat3
	Timp1
	Gsc
	Chad
	Bglap
	Acan
	Ifitm5
	Mdk
	Sftpc
	Fgf23
